Date,Day,Month,Year,Season,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Latitude error,Longitude error,Activity,Activity Long,Gender,Injury,Fatal,Species
10.May.88,10,5,1788,Autumn,Watercraft,AUSTRALIA,AUS,New South Wales,Sydney Harbor,-33.8521165,151.2107812,,,Fishing,Fishing,Unknown,"No injury to occupants, shark bit oar and rudder",N,Unknown
25.Nov.04,25,11,1791,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Port Jackson,-33.81488915,151.2751297,,,Unknown,,F,"FATAL, ""bitten in two""",Y,Unknown
01.Mar.03,1,3,1803,Autumn,Unprovoked,AUSTRALIA,AUS,Western Australia,"Hamelin Harbour, at Faure Island",-30.2985996,153.1094116,,,Unknown,,M,Shark knocked him down & tore clothing of the rescuer,N,Unknown
26.Feb.04,26,2,1804,Summer,Watercraft,AUSTRALIA,AUS,New South Wales,"Georges Head, off Port Jackson",None,None,,,Unknown,,Unknown,No injury to occupants,N,Unknown
12.Jan.07,12,1,1807,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Cockle Bay, Sydney Harbour",-33.8736678,151.2011955,,,Unknown,,M,Survived,N,Unknown
22.Jan.31,22,1,1831,Summer,Invalid,AUSTRALIA,AUS,Tasmania,Hobart,-42.8825088,147.3281233,,,Boat capsized,"Boat capsized, clinging to line",M,"Drowned, no shark involvement",Unknown,Invalid
23.Jan.32,23,1,1832,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney,-33.8698439,151.2082848,,,Bathing,Bathing,M,Laceration to leg,N,Unknown
04.Jun.32,4,6,1832,Winter,Unprovoked,AUSTRALIA,AUS,New South Wales,"South Head, Sydney",-33.8329686,151.2804991,,,Fishing,Fishing,F,Leg severed,N,Unknown
17.Jan.37,17,1,1837,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Macleay River,-30.9064024,152.590455,,,Washing his feet,Washing his feet,M,"FATAL     Injured by shark, died of tetanus",Y,Unknown
01.Dec.40,1,12,1840,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Off Domain, Sydney Harbor",-37.8341939,144.9768873,,,Swimming,Swimming,M,FATAL,Y,Unknown
01.Feb.40,1,2,1840,Summer,Watercraft,AUSTRALIA,AUS,Tasmania,George Town Cove,None,None,,,Sailing,Sailing,Unknown,"No injury to occupant, shark seized stern post",N,Unknown
27.Mar.41,27,3,1841,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,"Cockatoo Island, Sydney",-33.8475972,151.1721585,,,Bathing,Bathing,M,FATAL,Y,Unknown
15.Jan.05,15,1,1842,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney Harbor,-33.8521165,151.2107812,,,Unknown,"Unknown, but it was said to be the ""First known attack in Sydney Harbour""",M,Recovered,N,Unknown
26.Dec.45,26,12,1845,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Newcastle ,-32.92667,151.780014,,,Fishing,Fishing,M,FATAL,Y,Unknown
30.Nov.47,30,11,1847,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane River,-27.5329355,152.9576543,,,Swimming,Swimming,M,Thigh & calf bitten,N,Unknown
11.Mar.47,11,3,1847,Autumn,Sea Disaster,AUSTRALIA,AUS,Queensland,Moreton Bay,-27.2397819,153.2539994,,,Wreck of the Sovereign,Wreck of the Sovereign,M,Foot severed,N,Unknown
19.Sept.49,19,9,1849,Spring,Unprovoked,AUSTRALIA,AUS,Victoria,Warrnambool,-38.3826242,142.4814199,,,Swimming,Swimming,M,FATAL,Y,Unknown
27.Jan.49,27,1,1849,Summer,Invalid,AUSTRALIA,AUS,New South Wales,Sydney,-33.8698439,151.2082848,,,Boat capsized,boat capsized,M,Torso bitten but may have been postmortem,Unknown,Invalid
09.Dec.49,9,12,1849,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney Harbor,-33.8521165,151.2107812,,,Unknown,,M,FATAL,Y,Unknown
01.Dec.49,1,12,1849,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Woolloomooloo, Sydney Harbor (Estuary)",-33.8718758,151.2192218,,,Bathing,Bathing,M,FATAL,Y,Unknown
09.Oct.52,9,10,1852,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Coalcliff,-34.242165,150.9774905,,,Fell,Fell overboard,M,FATAL,Y,Unknown
19.Dec.52,19,12,1852,Summer,Invalid,AUSTRALIA,AUS,New South Wales,"Clark's Island, Sydney Harbor",None,None,,,Swimming,Swimming,M,Shark involvement prior to death was not confirmed,Unknown,Invalid
26.Jan.05,26,1,1853,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Moreton Bay,-27.2397819,153.2539994,,,Fell,Fell into the water,M,FATAL,Y,Unknown
11.Nov.55,11,11,1855,Spring,Unprovoked,AUSTRALIA,AUS,Victoria,Melbourne,-37.8142454,144.9631732,,,Swimming,Swimming,M,FATAL,Y,Unknown
09.Apr.55,9,4,1855,Autumn,Unprovoked,AUSTRALIA,AUS,South Australia,Port Wakefield,-34.1853492,138.1553794,,,Fell,Fell overboard from the Malacca,F,FATAL,Y,Unknown
28.Mar.55,28,3,1855,Autumn,Unprovoked,AUSTRALIA,AUS,South Australia,Port Wakefield,-34.1853492,138.1553794,,,Fell,Fell overboard from the Sobella,M,FATAL,Y,Unknown
06.Feb.56,6,2,1856,Summer,Unprovoked,AUSTRALIA,AUS,Victoria,Point Henry,-38.125605,144.425765,,,Swimming,Swimming,M,Severe bite to thigh. Not known if he survived,Unknown,Unknown
14.Mar.58,14,3,1858,Autumn,Unprovoked,AUSTRALIA,AUS,Victoria,Hobson Bay,-36.85763205,174.797098,,,Bathing,Bathing,M,FATAL,Y,Unknown
26.Dec.60,26,12,1860,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"The Domain, Sydney",-33.8680444,151.2153228,,,Bathing,Bathing,M,Lacerations to leg,N,Unknown
15.Jan.61,15,1,1861,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Cleveland,-27.526299,153.26673,,,Bathing,Bathing,M,Lacerations to fingers,N,Unknown
19.Dec.62,19,12,1862,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane River,-27.5329355,152.9576543,,,Trying to catch a wounded bird,Trying to catch a wounded bird,M,FATAL,Y,Unknown
05.Mar.63,5,3,1863,Autumn,Unprovoked,AUSTRALIA,AUS,Victoria,Brighton,-37.908196,144.995799,,,Floating,Floating on back,M,Lacerations to right torso & ankle,N,Unknown
10.Jan.63,10,1,1863,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"""Bellynahinch"" on the Manning River",-31.8517188,152.1004561,,,Bathing,Bathing,M,FATAL,Y,Unknown
01.Apr.63,1,4,1863,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Caloundra Heads,-26.7981633,153.1354434,,,Boat capsized,Launching a boat,M,FATAL,Y,"Unknown, length given"
06.Feb.05,6,2,1864,Summer,Invalid,AUSTRALIA,AUS,South Australia,"Corio Bay, Port Phillip",-38.1077128,144.3991476,,,Swimming,Swimming,M,Presumed FATAL,Unknown,Invalid
07.Feb.05,7,2,1865,Summer,Watercraft,AUSTRALIA,AUS,South Australia,Semaphore,-34.8389257,138.4828377,,,Boarding,Boarding a ship,Unknown,"No injury to pilot, oar bitten",N,Unknown
24.Apr.66,24,4,1866,Autumn,Invalid,AUSTRALIA,AUS,Western Australia,Off De Grey river,None,None,,,Fell,Fell overboard,M,Thought to have been taken by a shark. Body was not recovered,Unknown,Invalid
26.Jan.67,26,1,1867,Summer,Watercraft,AUSTRALIA,AUS,Victoria,Queenscliff,-33.7823916,151.2854011,,,Unknown,,Unknown,"No injury, shark bit oar of customs boat",N,Unknown
04.Jan.68,4,1,1868,Summer,Sea Disaster,AUSTRALIA,AUS,South Australia,Belfast (now Port Fairy),None,None,,,Fishing,Fishing,Unknown,"No injury to occupants, shark's teeth embedded in keel",N,Unknown
24.Oct.68,24,10,1868,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,South Aroo Island,-35.87082163,137.0125537,,,Swimming,Swimming,M,FATAL,Y,Unknown
15.Apr.69,15,4,1869,Autumn,Unprovoked,AUSTRALIA,AUS,South Australia,Cape Elizabeth,-43.253146,147.426108,,,Fishing,Net fishing,M,Foot bitten,N,Tiger shark
09.Jan.70,9,1,1870,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane River,-27.5329355,152.9576543,,,Bathing,Bathing,M,Right thigh bitten,N,Unknown
26.May.70,26,5,1870,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Moreton Island,-27.19264975,153.394318,,,Fishing,Fishing,M,bite to lower leg,N,Unknown
11.Dec.71,11,12,1871,Summer,Invalid,AUSTRALIA,AUS,New South Wales,Hawkesbury River,-33.52540955,151.2153877,,,Unknown,,M,Human remains recovered from 11' shark,Unknown,Invalid
13.Feb.05,13,2,1871,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Manning River,-31.8517188,152.1004561,,,Unknown,,M,"FATAL, ""caught by legs"" ",Y,Unknown
26.Feb.72,26,2,1872,Summer,Sea Disaster,AUSTRALIA,AUS,Queensland,Bramble Reef,-18.4136888,146.709538,,,Wreck of the 150-ton brig Maria,Wreck of the 150-ton brig Maria,Unknown,"FATAL, some were taken by sharks",Y,Unknown
09.Jun.73,9,6,1873,Winter,Invalid,AUSTRALIA,AUS,New South Wales,Newcastle ,-32.92667,151.780014,,,Bathing,Bathing,M,FATAL,Unknown,Invalid
09.Jan.73,9,1,1873,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,White Cliffs,-30.8503781,143.0900234,,,Bathing,Bathing,M,Survived,N,Hammerhead shark
21.Nov.74,21,11,1874,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,Maryborough,-25.537583,152.7019182,,,Bathing,Bathing,M,Thigh bitten,N,"Unknown, length given"
09.Jan.74,9,1,1874,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Darling Harbor, Sydney",-33.8675516,151.1995619,,,Bathing,Bathing,M,Thigh  severely bitten,N,Unknown
27.Nov.75,27,11,1875,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Clarence Head,-29.431953,153.365384,,,Fishing,Fishing,M,Foot severed at ankle,N,Unknown
20.Jan.75,20,1,1875,Summer,Invalid,AUSTRALIA,AUS,Queensland,Mary River,-26.1242027,152.5715907,,,Bathing,Bathing,M,Forehead bitten,Unknown,Invalid
18.Feb.05,18,2,1876,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney,-33.8698439,151.2082848,,,Unknown,,M,"FATAL, ""his side was  bitten""",Y,Unknown
14.May.76,14,5,1876,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney Harbour,-33.8670914,151.1997995,,,Swimming,Swimming,M,FATAL,Y,Unknown
06.Feb.76,6,2,1876,Summer,Unprovoked,AUSTRALIA,AUS,Victoria,Albert Park in Port Phillip Bay,None,None,,,Bathing,Bathing,M,"FATAL, rescued by man on horseback, but died on the beach  ",Y,Unknown
18.Feb.05,18,2,1876,Summer,Unprovoked,AUSTRALIA,AUS,Western Australia,Between De Grey River and Port Walcott,None,None,,,Diving,Pearl diving,M,"""Severely bitten"" but survived",N,Unknown
28.Jan.77,28,1,1877,Summer,Unprovoked,AUSTRALIA,AUS,Victoria,Emerald Hill,-41.0981881,175.1009135,,,Bathing,Bathing,M,FATAL,Y,Unknown
04.Apr.77,4,4,1877,Autumn,Unprovoked,AUSTRALIA,AUS,Victoria,Portarlington,-38.115656,144.653063,,,Bathing,Bathing,M,Thigh & foot bitten,N,Unknown
17.Feb.77,17,2,1877,Summer,Unprovoked,AUSTRALIA,AUS,Victoria,Off Melbourne,-37.8479237,144.9953808,,,Fishing,Fishing ,M,Severe bite to hand,N,Unknown
12.Dec.77,12,12,1877,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Near Sydney,-33.86882,151.20929,,,Washed overboard from the barque Mary Eady,Washed overboard from the barque Mary Eady,M,FATAL,Y,Unknown
15.Dec.77,15,12,1877,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Peacock Point, Balmain, Sydney",-33.8599252,151.1960702,,,Bathing,Bathing,M,Leg severely bitten & later surgically amputated,N,Unknown
15.Sept.77,15,9,1877,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Port Jackson,-33.81488915,151.2751297,,,Fishing,Fishing,M,"No injury, pulled overboard by a shark that grabbed his coat",N,"Unknown, length given"
24.Jan.77,24,1,1877,Summer,Unprovoked,AUSTRALIA,AUS,Victoria,Boarding School Bay,-8.5277861,30.4698567,,,Swimming,Swimming,F,Ankle injured,N,"Unknown, length given"
07.Apr.77,7,4,1877,Autumn,Provoked,AUSTRALIA,AUS,Tasmania,Smelting Works Bay near Hobart,None,None,,,Unknown,,M,Fingers injured by landed shark PROVOKED INCIDENT,N,"Unknown, length given"
20.Feb.05,20,2,1878,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Balmain, Sydney (Estuary)",None,None,,,Bathing,Bathing in 2 feet of water,M,"FATAL, leg severed ",Y,Unknown
17.Nov.78,17,11,1878,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,"Lane Cove River, Sydney Harbor ",-33.7996955,151.1454581,,,Bathing,Bathing,M,Laceration to leg,N,"Unknown, length given"
10.Mar.79,10,3,1879,Autumn,Invalid,AUSTRALIA,AUS,New South Wales,Near Sydney ,-33.86882,151.20929,,,The steamship Bonnie Dundee lost in collision,The steamship Bonnie Dundee lost in collision,M,Partial  remains found in shark,Unknown,Invalid
10.Nov.79,10,11,1879,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Clarence Head,-29.431953,153.365384,,,Swimming,Swimming,M,Thigh bitten,N,Unknown
10.Oct.80,10,10,1880,Spring,Sea Disaster,AUSTRALIA,AUS,New South Wales,Bermagui,-36.4278621,150.0773955,,,Boat capsized,Traveling by boat,M,"Disappeared, thought to have murdered or drowned or  taken by a sharks after entrails washed ashore",Y,Unknown
22.Jan.80,22,1,1880,Summer,Watercraft,AUSTRALIA,AUS,New South Wales,"Chowder Bay, Sydney",-33.8403156,151.2540251,,,Fishing,Fishing,Unknown,"No injury to occupants, shark rammed boat",N,"Unknown, length given"
03.Jan.80,3,1,1880,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Cooranbong,-33.0758112,151.4539993,,,Bathing,Bathing,F,Lacerations to leg,N,Unknown
25.Nov.80,25,11,1880,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,"Petrie Bight, Brisbane River",-33.2350766,129.3540936,,,Swimming,Swimming,M,"Feet bitten, surgically amputated FATAL",Y,Bull shark
13.Nov.81,13,11,1881,Spring,Invalid,AUSTRALIA,AUS,New South Wales,"Johnstone's Bay, Sydney",-27.3220029,152.9877385,,,Swimming,Swimming,M,Shark involvement suspected but not confirmed,Unknown,Invalid
14.May.82,14,5,1882,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,Millers Point,-33.8591,151.2042529,,,Fell,Fell overboard,M,Laceration to calf,N,Unknown
15.Apr.82,15,4,1882,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,Lake Macquarie,-33.0657425,151.6109869,,,Fishing,Fishing,M,FATAL,Y,Unknown
24.Feb.05,24,2,1882,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Maryborough,-25.537583,152.7019182,,,Unknown,,M,Survived,N,Unknown
23.Jan.82,23,1,1882,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Darling Harbor, Sydney",-33.8675516,151.1995619,,,Bathing,Bathing,M,FATAL,Y,Unknown
21.Jan.83,21,1,1883,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Iron Cove, Sydney",-33.8634282,151.1486339,,,Bathing,Bathing,M,FATAL,Y,Unknown
19.Dec.83,19,12,1883,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Parramatta River,-33.82685855,151.0970648,,,Swimming,Swimming,M,FATAL,Y,Unknown
26.Feb.83,26,2,1883,Summer,Unprovoked,AUSTRALIA,AUS,Northern Territory,the pearling beds,-23.68529,139.21046,,,Diving,Diving,M,Arm severed,N,Unknown
25.Feb.83,25,2,1883,Summer,Unprovoked,AUSTRALIA,AUS,Northern Territory,the pearling beds,-23.68529,139.21046,,,Diving,Diving,M,FATAL,Y,Unknown
14.Sept.83,14,9,1883,Spring,Unprovoked,AUSTRALIA,AUS,Tasmania,Between Port Arthur Penal Colony & Forestier Peninsula,None,None,,,Swimming,Swimming / escaping imprisonment ,M,FATAL,Y,Unknown
13.Dec.84,13,12,1884,Summer,Sea Disaster,AUSTRALIA,AUS,South Australia,Port Phillip,-38.10464825,144.7798547,,,yachting accident,yachting accident,M,"Cause of death most likely drowning, remains recovered in shark",Y,"Unknown, length given"
14.Jan.84,14,1,1884,Summer,Unprovoked,AUSTRALIA,AUS,South Australia,"Port Pirie, Spencer Gulf, 230 km north of Adelaide",-33.1791249,138.0058614,,,Fell,Fell overboard,F,FATAL,Y,"Unknown, length given"
26.Nov.85,26,11,1885,Spring,Unprovoked,AUSTRALIA,AUS,Western Australia,Bunbury,-33.3267797,115.636698,,,Bathing,Bathing,M,Laceration to calf,N,Unknown
26.Nov.85,26,11,1885,Spring,Watercraft,AUSTRALIA,AUS,Queensland,Brisbane ,-27.4689682,153.0234991,,,Unknown,,Unknown,"No injury to occupant, shark bit off section of the boat's rudder",N,"Unknown, length given"
13.Feb.86,13,2,1886,Summer,Watercraft,AUSTRALIA,AUS,Victoria,Mordialloc,-38.0067174,145.0875658,,,Fishing,Fishing,M,"No injury to occupants, shark shook boat ""stem to stern""",N,Unknown
26.Apr.86,26,4,1886,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Rothesay Bay,-36.7215205,174.7511465,,,Oystering,Oystering,M,Wrist bitten,N,Unknown
28.Feb.05,28,2,1886,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney Harbor,-33.8521165,151.2107812,,,Sailing,Sailing,M,Leg severed,N,Unknown
01.Mar.86,1,3,1886,Autumn,Invalid,AUSTRALIA,AUS,New South Wales,"Dobroyd Head, Watson Bay, Sydney",-33.8111082,151.2730212,,,Boat capsized,He drowned when boat capsized,M,His body was found in a tiger shark; next day other human remains found in sharks at Berry's Bay ,Unknown,Invalid
17.Jun.86,17,6,1886,Winter,Unprovoked,AUSTRALIA,AUS,Queensland,Off Bribie Heads,None,None,,,Swimming,Swimming after being washed overboard,M,FATAL,Y,Unknown
12.Mar.87,12,3,1887,Autumn,Watercraft,AUSTRALIA,AUS,South Australia,Black Point,-34.614722,137.897501,,,Rowing,Rowing a dinghy,Unknown,No injury to occupants,N,"Unknown, length given"
04.Dec.87,4,12,1887,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Ryde, Sydney (Estuary)",-33.8125405,151.1115717,,,Unknown,,M,FATAL,Y,"Unknown, length given"
24.Jun.88,24,6,1888,Winter,Watercraft,AUSTRALIA,AUS,Victoria,Port Melbourne,-37.8333613,144.9219203,,,Fishing,Fishing,Unknown,"No injury to occupants, shark holed boat",N,Unknown
22.Jan.88,22,1,1888,Summer,Watercraft,AUSTRALIA,AUS,New South Wales,Sydney Harbor,-33.8521165,151.2107812,,,Rowing,Rowing,M,"Shark bit boat, but no injury to occupant who swam ashore",N,Unknown
01.Dec.88,1,12,1888,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Hawkesbury Bridge, Sydney",-33.5339566,151.2286007,,,Fell,Working on the bridge when he fell into the river,M,FATAL,Y,Unknown
09.Dec.88,9,12,1888,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Iron Cove Bridge, Sydney (Estuary)",-33.8589951,151.1623207,,,Swimming,Swimming,M,FATAL,Y,Unknown
18.Jun.88,18,6,1888,Winter,Invalid,AUSTRALIA,AUS,Victoria,"Point Cook, Port Phillip Bay",-37.9064862,144.7533059,,,The cutter yacht Cutty Sark sank,The cutter yacht Cutty Sark sank,M,Probable drowning & scavenging,Unknown,Invalid
08.Jul.89,8,7,1889,Winter,Unprovoked,AUSTRALIA,AUS,Victoria,Port Phillip,-38.10464825,144.7798547,,,Fell,Fell into the water,M,FATAL ,Y,Unknown
22.Nov.89,22,11,1889,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,Bowen,-20.012125,148.24629,,,Fell,Fell into the water,M,FATAL,Y,Unknown
30.Dec.90,30,12,1890,Summer,Invalid,AUSTRALIA,AUS,Queensland,Moreton Bay,-27.2397819,153.2539994,,,Swimming,Swimming to shore after boat capsized by a squall,Unknown,"Fatal, but death may have been due to drowning",Unknown,Invalid
04.Mar.05,4,3,1890,Autumn,Unprovoked,AUSTRALIA,AUS,Tasmania,Derwent River (empties into the sea at Hobart),None,None,,,Wading,Wading,M,Knee bitten,N,Sevengill shark
02.Mar.92,2,3,1892,Autumn,Provoked,AUSTRALIA,AUS,New South Wales,Lake Macquarie,-33.0657425,151.6109869,,,Fishing,Fishing,M,Lacerations to calf by netted shark PROVOKED INCIDENT,N,"Unknown, length given"
06.Nov.92,6,11,1892,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,"Wellington Point, Brisbane",-27.4840595,153.2407425,,,Swimming,Swimming,F,Abrasions to left leg,N,Unknown
06.Mar.05,6,3,1892,Autumn,Provoked,AUSTRALIA,AUS,Torres Strait,Badu Island,-10.12096135,142.1407291,,,Diving,Dress diving,M,FATAL         Bitten in two by shark that he molested with a knife. Buried at Batu Island.  PROVOKED INCIDENT,Y,Unknown
14.Apr.93,14,4,1893,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Torres Strait,-10.416667,142.166667,,,Swimming,"Boat capsized, swimming ashore",M,Leg bitten,N,Unknown
04.Apr.93,4,4,1893,Autumn,Invalid,AUSTRALIA,AUS,Tasmania,"Chimney Point, George’s Bay",None,None,,,Swimming,"Boat capsized, swimming ashore",M,"Fatal, probable drowning",Unknown,Invalid
28.Nov.94,28,11,1894,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Newcastle ,-32.92667,151.780014,,,Bathing,Bathing,M,"""Lost his arm""",N,"Unknown, length given"
16.Nov.95,16,11,1895,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Jervis Bay ,-35.1494368,150.7085321,,,Fishing,Fishing,M,FATAL,Y,Unknown
09.Dec.95,9,12,1895,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"West Balmain, Sydney",-33.8550234,151.1685985,,,Bathing,Bathing,M,FATAL,Y,Unknown
27.Feb.95,27,2,1895,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney Harbor,-33.8521165,151.2107812,,,Swimming,Swimming,M,FATAL,Y,Unknown
15.Mar.95,15,3,1895,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Burnett River,-25.3930943,151.6928595,,,Swimming,Swimming,M,Lower leg & foot bitten,N,Unknown
03.Jun.95,3,6,1895,Winter,Unprovoked,AUSTRALIA,AUS,Western Australia,Barrow Passage,-20.78023215,115.407375,,,Diving,Pearl diving,M,FATAL,Y,Unknown
09.Mar.05,9,3,1895,Autumn,Watercraft,AUSTRALIA,AUS,Western Australia,"Dampier's Creek, Broome",-20.74222587,116.830393,,,Unknown,,Unknown,No injury to occupants of boat,N,Unknown
23.Dec.96,23,12,1896,Summer,Watercraft,AUSTRALIA,AUS,Victoria,Hobson's Bay,-43.5808977,172.7769488,,,Fishing,Fishing,M,No injury to occupants. Shark bit boat several times,N,"Unknown, length given"
29.Nov.96,29,11,1896,Spring,Unprovoked,AUSTRALIA,AUS,Western Australia,Albany,-35.024782,117.883608,,,Swimming,Swimming,M,FATAL,Y,Unknown
01.Nov.96,1,11,1896,Spring,Unprovoked,AUSTRALIA,AUS,Western Australia,Esperance,-33.858228,121.8931606,,,Boat capsized,Boat swamped,M,FATAL,Y,Unknown
11.Jan.96,11,1,1896,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Johnstone's Bay, Sydney",-27.3220029,152.9877385,,,Bathing,Bathing,M,FATAL,Y,Unknown
26.Jul.98,26,7,1898,Winter,Invalid,AUSTRALIA,AUS,New South Wales,Sydney,-33.8698439,151.2082848,,,Swimming,Swimming after their boat capsized,M,"Reported fatal, but this is a questionable incident",Unknown,Invalid
28.Dec.98,28,12,1898,Summer,Unprovoked,AUSTRALIA,AUS,Northern Territory,The Narrows,-12.426848,130.860197,,,Fell,Fell oveboard,M,FATAL,Y,Unknown
28.Jan.99,28,1,1899,Summer,Invalid,AUSTRALIA,AUS,New South Wales,Newcastle,-32.92667,151.780014,,,Bathing,Bathing,F,Drowning may mav preceded attack,Unknown,Invalid
18.Dec.99,18,12,1899,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Tingalpa Creek,-27.5620904,153.1828648,,,Fell,Fell into the water,M,bite to lower leg,N,Unknown
28.Oct.99,28,10,1899,Spring,Watercraft,AUSTRALIA,AUS,Victoria,"Governor's Reef, Port Phillip Bay",-41.8724835,148.3121965,,,Fishing,Fishing for squid,Unknown,"No injury to occupants, shark bit boat",N,"Unknown, length given"
27.Dec.00,27,12,1900,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Middle Harbour, Sydney ",-33.7911216,151.234175,,,Bathing,Bathing,M,FATAL,Y,Unknown
15.Sept.00,15,9,1900,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,Townsville,-19.2569391,146.8239537,,,Swimming,Swimming,M,Laceration to right leg,N,Unknown
28.Jan.00,28,1,1900,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",-33.7996955,151.1454581,,,Standing,"Standing, gathering oysters",M,Right posterior thigh bitten,N,Unknown
01.Dec.01,1,12,1901,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane,-27.4689682,153.0234991,,,Bathing,Bathing,M,Lacerations to torso & thigh,N,Unknown
30.Jan.01,30,1,1901,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane,-27.4689682,153.0234991,,,Bathing,Bathing,M,"Thigh bitten, FATAL",Y,Unknown
25.Jan.02,25,1,1902,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Kerosene Bay,-33.8403646,151.1907942,,,Dangling feet in the water,Dangling feet in the water,M,FATAL,Y,Unknown
10.Nov.02,10,11,1902,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,"Middle Harbour, Sydney ",-33.7911216,151.234175,,,Swimming,Swimming,M,FATAL,Y,Unknown
19.Jan.02,19,1,1902,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane,-27.4689682,153.0234991,,,Swimming,Swimming,M,Legs bitten,N,Unknown
21.Jun.03,21,6,1903,Winter,Unprovoked,AUSTRALIA,AUS,New South Wales,Georges River,-34.0392423,150.8946067,,,Swimming,Swimming,M,FATAL,Y,Unknown
20.Mar.03,20,3,1903,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney,-33.8698439,151.2082848,,,Suicide,Suicide,M,Jumped off cliff,Y,Unknown
12.Mar.03,12,3,1903,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Logan River,-27.9380952,152.9734024,,,Swimming,Swimming,M,FATAL,Y,Unknown
