Date,Year,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Activity,Sex,Injury,Fatal,Species 
15-Jul-1898,1898,Unprovoked,YEMEN,YEM,Aden,Outer Harbor,-34.7727146,138.4981585,Swimming at side of small boat,M,"FATAL, severe injuries to both arms & legs, 3 limbs surgically amputed & died after 3 days  ",Y,
14-Jul-1898,1898,Unprovoked,YEMEN,YEM,Aden,Sapper Bay,12.78257155,44.97219376,Standing,M,FATAL,Y,
Summer of 1898,1898,Unprovoked,YEMEN,YEM,Aden,Harbor,34.0149264,-119.6745122,Diving for coins,M,FATAL,Y,
09-Jun-1897,1897,Sea Disaster,YEMEN,YEM,Socotra Islands,Socotra,12.5,53.833333,Wreck of the steamship Sultan of Bombay,,FATAL,Y,
22-Mar-07,2007,Unprovoked,YEMEN,YEM,Muhafazat Hadramawt,Ras-Alkalb,,,Murder,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,
07-Jul-55,1955,Unprovoked,YEMEN,YEM,Aden,Telegraph Bay,22.2584342,114.1269589,Swimming,F,"FATAL, back lacerated, arm & leg severed  ",Y,2.4 m [8']  shark
16-Apr-72,1972,Unprovoked,WESTERN SAMOA,WES,Upolu Island,Nu’ulua,21.2854667,-157.7339907,Swimming,M,FATAL,Y,Thought to involve a tiger shark
15-Jun-10,2010,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,Swimming,M,Laceration to left foot,N,1 m shark
18-May-10,2010,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,Rescuing,F,Minor laceration to leg,N,20 to 30kg shark
18-May-10,2010,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,Swimming,F,Severe lacerations to left foot,N,20 to 30kg shark
09-Jan-10,2010,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,,F,Minor injuries,N,
09-Jan-10,2010,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,,M,Right wrist bitten,N,
09-Jan-10,2010,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,Bathing,M,Left arm bitten twice,N,
29-Jul-09,2009,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,Swimming,F,Foot bitten,N,
18-Jul-09,2009,Unprovoked,VIETNAM,VNM,Binh Dinh Province,Quy Nhon ,13.7696017,109.2314599,Swimming,M,Severe bite to right leg,N,
Reported 11-Sep-1936,1936,,VIETNAM,VNM,,Saigon,10.7763897,106.7011391,Wreck of a sampam,M,FATAL,Y,
1907,1907,Unprovoked,VIETNAM,VNM,Khánh Hòa Province,Nha Trang,12.2431693,109.1898675,Fishing,M,"Leg severely bitten, surgically amputated",N,
17-Jan-1868,1868,Sea Disaster,VIETNAM,VNM,,Cohong,,,A junk foundered,M,FATAL,Y,
